user_id,watch_time_hours,avg_session_mins,num_sessions,top_genres,genre_diversity,weekend_watch_ratio,days_since_last_active
USR-0037,16.19,21.2,25,Animation,1,0.18,1
USR-0038,76.38,79.8,22,"Action, Thriller",1,0.42,0
USR-0039,3.41,29.2,3,Documentary,1,0.54,21
USR-0040,33.2,114.7,18,"Sci-Fi, Thriller",3,0.75,2
USR-0041,16.1,74.6,32,"Action, Thriller",2,0.33,2
USR-0042,38.72,110.7,20,"Drama, Sci-Fi",2,0.99,4
USR-0043,43.44,138.5,23,Drama,3,0.88,2
USR-0044,11.39,28.5,29,Comedy,1,0.29,3
USR-0045,27.62,103.5,29,"Sci-Fi, Thriller",3,0.8,8
USR-0046,33.7,137.5,22,Drama,3,0.74,2
USR-0047,9.32,32.0,37,Comedy,1,0.31,3
USR-0048,2.17,24.5,24,"Comedy, Romance",1,0.32,16
USR-0049,58.89,88.0,35,"Action, Thriller",2,0.51,1
USR-0050,16.82,17.8,32,Comedy,1,0.42,18
USR-0051,3.49,,6,Action,1,0.32,24
USR-0052,49.8,,39,"Action, Thriller",1,0.54,0
USR-0053,0.83,,3,Romance,1,0.22,48
USR-0054,46.31,,30,"Action, Thriller",2,0.3,4
USR-0055,55.77,,33,"Documentary, Drama, Sci-Fi",3,0.59,7
USR-0056,37.33,,24,"Drama, Sci-Fi",2,0.71,3
USR-0057,61.53,,24,"Drama, Sci-Fi",3,0.81,12
USR-0058,44.49,,27,"Action, Thriller",2,0.4,1
USR-0059,45.42,,32,"Action, Thriller",1,0.28,0
USR-0060,5.94,,27,Comedy,1,0.41,3
USR-0061,2.89,16.6,5,Horror,1,0.09,58
USR-0062,46.4,83.6,29,"Animation, Documentary, Drama, Comedy, Horror",5,0.43,1
USR-0063,33.56,147.1,16,"Drama, Sci-Fi",3,0.75,3
USR-0064,67.73,113.1,28,"Action, Thriller",2,0.42,2
USR-0065,64.51,66.0,65,"Drama, Animation, Sci-Fi, Comedy",4,0.71,0
USR-0066,34.23,111.7,42,"Action, Thriller",2,0.44,2
USR-0067,70.8,44.3,27,"Sci-Fi, Action, Drama",3,0.49,0
USR-0068,41.78,97.3,40,"Action, Thriller",2,0.42,3
USR-0069,48.64,78.1,34,"Action, Thriller",2,0.35,1
USR-0070,11.59,25.3,31,Animation,1,0.47,1
USR-0071,12.73,20.3,28,"Comedy, Romance",1,0.38,6
USR-0072,18.58,23.5,31,Romance,2,0.38,0
USR-0073,31.62,40.1,47,"Sci-Fi, Drama, Horror, Thriller",4,0.44,0
USR-0074,17.37,17.2,43,Romance,1,0.29,9
USR-0075,10.45,21.0,36,Romance,1,0.22,4
USR-0076,9.53,17.4,35,Romance,1,0.35,1
USR-0077,48.68,52.5,47,"Action, Animation, Thriller, Horror, Drama",5,0.49,7
USR-0078,15.26,28.4,29,Romance,1,0.53,10
USR-0079,45.84,62.9,21,"Action, Thriller",1,0.45,2
USR-0080,7.44,26.6,44,Comedy,1,0.19,4
USR-0081,6.4,26.4,24,Animation,1,0.38,9
USR-0082,15.28,104.1,22,"Sci-Fi, Thriller",3,0.78,2
USR-0083,4.0,17.1,6,Thriller,1,0.32,28
USR-0084,59.73,83.7,37,"Action, Thriller",2,0.66,6
USR-0085,11.0,32.8,23,Romance,1,0.13,4
USR-0086,27.89,87.7,16,Drama,2,0.8,2
USR-0087,15.66,31.5,38,Animation,2,0.35,1
USR-0088,15.32,19.9,28,Romance,1,0.3,9
USR-0089,28.06,100.1,53,"Action, Thriller",2,0.36,2
USR-0090,17.66,22.2,28,"Comedy, Romance",1,0.34,2
USR-0091,4.89,34.0,31,"Comedy, Romance",2,0.34,1
USR-0092,65.41,76.0,27,"Action, Thriller",3,0.47,4
USR-0093,69.46,100.1,29,"Action, Thriller",1,0.43,0
USR-0094,39.22,57.6,49,"Animation, Comedy, Sci-Fi",3,0.45,3
USR-0095,42.85,65.2,41,"Action, Thriller",2,0.46,1
USR-0096,24.97,114.8,14,"Drama, Sci-Fi",2,0.79,2
USR-0097,4.62,8.8,2,Sci-Fi,1,0.33,38
USR-0098,41.1,142.6,17,"Drama, Sci-Fi",2,0.73,2
USR-0099,41.73,33.1,30,"Animation, Documentary, Sci-Fi, Thriller, Horror",5,0.68,1
USR-0100,10.57,26.4,24,Animation,1,0.33,2
USR-0101,-12.5,118.6,22,"Drama, Sci-Fi",2,0.74,3
USR-0102,-12.5,16.5,17,Comedy,1,0.45,7
USR-0103,-12.5,84.4,40,"Action, Thriller",3,0.49,1
USR-0104,-12.5,101.3,11,"Sci-Fi, Thriller",3,0.94,3
USR-0105,-12.5,31.5,35,Comedy,1,0.28,2
USR-0106,2.18,20.0,4,Documentary,1,0.42,51
USR-0107,20.62,29.0,24,Animation,1,0.31,0
USR-0108,4.65,23.8,5,Sci-Fi,1,0.45,39
USR-0109,54.17,51.3,30,"Action, Thriller",1,0.48,0
USR-0110,8.37,30.1,27,Romance,2,0.58,3
USR-0111,9.5,25.2,31,Animation,1,0.28,10
USR-0112,52.3,108.1,36,"Action, Thriller",2,0.49,8
USR-0113,4.98,24.3,20,"Comedy, Romance",1,0.36,4
USR-0114,51.49,105.9,19,Drama,2,0.94,2
USR-0115,51.31,80.1,40,"Action, Thriller",2,0.55,0
USR-0116,4.04,24.4,6,Romance,1,0.39,59
USR-0117,5.03,23.1,5,Documentary,1,0.19,59
USR-0118,20.48,114.4,21,Drama,3,0.75,14
USR-0119,4.69,17.6,4,Documentary,1,0.38,21
USR-0120,35.66,113.8,21,"Sci-Fi, Thriller",3,0.76,0
USR-0121,17.79,26.2,34,"Comedy, Romance",1,0.2,14
USR-0122,13.02,24.9,31,Animation,2,0.33,3
USR-0123,40.86,27.7,54,"Drama, Animation, Thriller, Documentary, Sci-Fi",5,0.54,0
USR-0124,15.14,22.3,32,"Comedy, Romance",1,0.51,30
USR-0125,18.2,19.0,33,Romance,1,0.33,16
USR-0126,2.85,18.3,7,Romance,1,0.2,44
USR-0127,9.45,21.8,24,Animation,2,0.29,11
USR-0128,40.97,90.0,23,Drama,2,1.0,5
USR-0129,43.44,112.5,16,Drama,2,0.74,9
USR-0130,16.56,51.8,43,"Romance, Documentary, Thriller, Drama, Action",5,0.29,2
USR-0131,11.06,25.6,31,"Comedy, Romance",1,0.35,0
USR-0132,0.1,51.9,57,"Romance, Sci-Fi, Horror, Comedy",4,0.54,2
USR-0133,53.68,75.7,50,"Comedy, Thriller, Action, Animation",4,0.6,6
USR-0134,9.83,28.8,37,"Comedy, Romance",1,0.38,2
USR-0135,40.25,121.8,23,"Drama, Sci-Fi",3,0.69,0
USR-0136,55.53,65.7,57,"Action, Drama, Comedy, Animation",4,0.33,0
USR-0137,41.33,106.0,25,Drama,3,0.68,18
USR-0138,60.2,105.2,11,"Drama, Sci-Fi",2,0.91,1
USR-0139,14.93,31.5,17,Comedy,2,0.31,0
USR-0140,66.18,66.6,53,"Horror, Thriller, Comedy, Action, Animation",5,0.44,0
USR-0141,21.53,108.7,25,"Sci-Fi, Thriller",2,0.73,0
USR-0142,49.51,113.1,22,"Sci-Fi, Thriller",2,0.8,0
USR-0143,74.52,52.8,39,"Action, Thriller",3,0.42,0
USR-0144,6.3,28.6,19,"Comedy, Romance",1,0.38,6
USR-0145,9.46,31.0,26,Romance,1,0.35,3
USR-0146,4.35,24.4,5,Drama,1,0.32,24
USR-0147,83.82,89.7,39,"Action, Thriller",1,0.63,1
USR-0148,11.01,20.9,21,Animation,1,0.32,8
USR-0149,49.42,60.9,47,"Animation, Drama, Romance",3,0.61,3
USR-0150,12.46,30.7,26,Animation,1,0.48,1
USR-0151,14.6,34.4,26,Animation,1,0.57,26
USR-0152,14.09,21.6,27,Romance,1,0.56,7
USR-0153,10.04,43.6,26,Comedy,1,0.27,0
USR-0154,16.36,24.3,33,"Comedy, Romance",1,0.44,9
USR-0155,91.47,70.2,70,"Drama, Action, Horror, Documentary",4,0.55,0
USR-0156,54.77,147.6,16,"Sci-Fi, Thriller",2,0.83,1
USR-0157,3.49,16.5,1,Animation,1,0.24,43
USR-0158,42.68,105.7,15,Drama,3,0.67,1
USR-0159,26.22,60.9,24,"Comedy, Documentary, Animation, Romance",4,0.53,0
USR-0160,51.14,121.2,38,"Action, Thriller",2,0.49,6
USR-0161,51.08,81.7,35,"Action, Thriller",3,0.38,0
USR-0162,63.79,88.8,35,"Action, Thriller",1,0.25,0
USR-0163,3.21,20.3,4,Comedy,1,0.41,33
USR-0164,9.07,28.0,31,Comedy,1,0.27,14
USR-0165,65.44,97.4,36,"Action, Thriller",2,0.49,2
USR-0166,41.72,66.0,46,"Comedy, Animation, Horror",3,0.55,0
USR-0167,39.36,126.6,21,"Drama, Sci-Fi",2,0.83,0
USR-0168,49.01,117.2,18,"Drama, Sci-Fi",3,0.86,0
USR-0169,6.89,15.1,22,Comedy,1,0.51,5
USR-0170,12.17,23.6,30,Romance,1,0.25,3
USR-0171,13.01,99.4,31,"Thriller, Action, Animation",3,0.3,0
USR-0172,51.97,95.9,33,"Action, Thriller",1,0.51,1
USR-0173,8.05,18.4,29,"Comedy, Romance",1,0.49,8
USR-0174,7.77,25.4,29,Animation,2,0.39,0
USR-0175,53.97,118.5,17,"Sci-Fi, Thriller",2,0.81,0
USR-0176,65.46,128.3,22,"Sci-Fi, Thriller",2,0.89,9
USR-0177,25.35,70.6,55,"Romance, Thriller, Documentary, Action, Animation",5,0.39,0
USR-0178,54.04,106.4,24,"Action, Thriller",2,0.46,0
USR-0179,39.08,101.3,30,"Action, Thriller",1,0.47,0
USR-0180,33.82,157.9,28,Drama,3,0.77,0
USR-0181,61.83,114.4,31,"Action, Thriller",1,0.43,6
USR-0182,41.79,79.3,30,"Action, Thriller",2,0.43,0
USR-0183,51.27,41.7,48,"Horror, Action, Thriller, Documentary",4,0.6,10
USR-0184,15.47,14.2,35,Animation,1,0.42,0
USR-0185,9.06,32.4,34,"Comedy, Romance",1,0.41,0
USR-0186,1.87,21.9,3,Romance,1,0.29,23
USR-0187,49.87,62.7,52,"Horror, Drama, Animation, Romance",4,0.61,0
USR-0188,70.72,90.6,36,"Action, Thriller",3,0.44,0
USR-0189,71.66,93.4,45,"Action, Horror, Sci-Fi",3,0.2,0
USR-0190,48.44,104.7,40,"Action, Thriller",2,0.46,1
USR-0191,7.91,26.8,29,Romance,1,0.34,3
USR-0192,55.68,97.9,34,"Action, Thriller",2,0.5,2
USR-0193,13.13,20.2,31,"Comedy, Romance",1,0.22,3
USR-0194,34.37,108.0,28,Drama,3,0.79,16
USR-0195,47.64,85.5,31,"Action, Thriller",2,0.47,17
USR-0196,26.52,78.7,49,"Horror, Action, Romance, Drama, Animation",5,0.77,1
USR-0197,60.3,76.4,44,"Action, Sci-Fi, Documentary, Drama, Comedy",5,0.48,1
USR-0198,54.82,98.7,35,"Action, Thriller",2,0.35,5
USR-0199,40.68,89.4,44,"Action, Thriller",2,0.36,1
USR-0200,17.88,23.7,23,Comedy,2,0.45,0
USR-0201,99999.0,25.9,31,Animation,1,0.4,15
USR-0202,99999.0,123.4,14,"Drama, Sci-Fi",2,0.81,0
USR-0203,99999.0,108.4,34,"Action, Thriller",1,0.46,2
USR-0204,12.94,24.9,24,Romance,1,0.47,7
USR-0205,61.94,53.6,30,"Thriller, Horror, Animation, Comedy",4,0.68,6
USR-0206,10.77,29.1,27,Romance,1,0.24,6
USR-0207,45.38,141.5,18,"Sci-Fi, Thriller",2,0.73,1
USR-0208,20.22,18.4,26,Romance,1,0.32,34
USR-0209,47.46,112.8,21,"Drama, Sci-Fi",3,0.67,2
USR-0210,60.44,76.0,34,"Animation, Comedy, Thriller, Documentary",4,0.56,0
USR-0211,28.04,119.2,15,"Drama, Sci-Fi",2,0.66,2
USR-0212,19.25,28.7,29,"Comedy, Romance",1,0.44,1
USR-0213,45.97,135.4,18,Drama,2,0.85,6
USR-0214,75.04,95.9,25,"Action, Thriller",2,0.49,4
USR-0215,25.5,97.9,17,Drama,3,0.73,1
USR-0216,14.36,27.0,17,Comedy,1,0.5,1
USR-0217,50.27,83.8,23,"Action, Thriller",3,0.28,2
USR-0218,37.8,113.7,18,"Sci-Fi, Thriller",2,0.81,3
USR-0219,68.08,68.7,38,"Action, Thriller",2,0.37,12
USR-0220,55.98,109.6,27,"Action, Thriller",2,0.42,0
USR-0221,15.09,30.3,22,Romance,1,0.3,10
USR-0222,68.77,85.4,44,"Action, Thriller",2,0.26,0
USR-0223,12.56,14.4,29,Romance,2,0.34,1
USR-0224,6.4,8.2,32,"Comedy, Romance",1,0.34,0
USR-0225,11.29,116.8,24,"Sci-Fi, Thriller",2,0.86,0
USR-0226,11.79,29.9,22,Romance,1,0.25,2
USR-0227,68.9,60.9,44,"Romance, Horror, Documentary, Thriller, Action",5,0.41,2
USR-0228,64.44,76.6,26,"Action, Thriller",3,0.46,1
USR-0229,55.59,83.8,49,"Animation, Romance, Sci-Fi",3,0.5,5
USR-0230,2.09,26.1,5,Action,1,0.16,40
USR-0231,60.15,100.4,36,"Action, Thriller",2,0.41,0
USR-0232,6.93,24.7,25,"Comedy, Romance",1,0.55,9
USR-0233,10.79,26.3,28,Animation,2,0.35,1
USR-0234,10.07,19.3,28,"Comedy, Romance",1,0.51,7
USR-0235,73.99,95.7,49,"Action, Thriller",1,0.65,1
USR-0236,17.06,22.2,23,Animation,1,0.14,10
USR-0237,3.17,10.8,6,Sci-Fi,1,0.15,31
USR-0238,7.43,28.2,28,"Comedy, Romance",1,0.45,11
USR-0239,10.66,22.6,22,"Comedy, Romance",2,0.39,24
USR-0240,52.76,56.9,34,"Thriller, Action, Documentary, Drama",4,0.5,0
USR-0241,34.98,131.2,21,"Drama, Sci-Fi",2,0.79,10
USR-0242,58.32,101.0,26,"Action, Thriller",3,0.37,6
USR-0243,10.17,23.2,29,Animation,1,0.3,2
USR-0244,15.05,32.5,18,Comedy,2,0.47,12
USR-0245,10.73,20.9,30,Comedy,2,0.25,2
USR-0246,41.26,158.8,14,Drama,3,0.75,2
USR-0247,45.22,69.5,47,"Horror, Thriller, Romance, Action",4,0.59,1
USR-0248,42.71,64.8,40,"Sci-Fi, Horror, Comedy, Thriller",4,0.49,3
USR-0249,65.66,82.1,40,"Action, Thriller",1,0.41,3
USR-0250,11.11,22.9,27,Comedy,2,0.32,0
USR-0251,62.87,112.9,32,"Action, Thriller",2,0.53,13
USR-0252,52.39,122.3,17,Drama,3,0.66,7
USR-0253,8.29,26.4,33,"Comedy, Romance",2,0.4,0
USR-0254,28.8,117.8,15,"Sci-Fi, Thriller",3,0.76,3
USR-0255,29.86,135.7,15,"Sci-Fi, Thriller",3,0.8,14
USR-0256,11.17,14.5,33,Romance,1,0.33,4
USR-0257,49.85,79.6,23,"Action, Thriller",2,0.44,0
USR-0258,52.54,90.1,43,"Action, Thriller",2,0.39,2
USR-0259,11.36,29.0,29,"Comedy, Romance",1,0.27,14
USR-0260,39.36,108.2,27,"Drama, Sci-Fi",3,0.74,3
USR-0261,10.07,25.9,37,Romance,1,0.44,11
USR-0262,41.93,103.6,24,"Sci-Fi, Thriller",2,0.81,5
USR-0263,17.32,33.0,29,Romance,1,0.44,17
USR-0264,43.82,132.7,20,"Sci-Fi, Thriller",2,0.74,2
USR-0265,22.71,22.1,16,Animation,2,0.42,0
USR-0266,10.82,31.5,28,Romance,2,0.27,4
USR-0267,52.04,68.9,43,"Thriller, Comedy, Drama, Animation, Action",5,0.6,0
USR-0268,8.14,22.4,28,"Comedy, Romance",1,0.33,3
USR-0269,35.88,68.1,46,"Drama, Animation, Romance, Comedy",4,0.64,0
USR-0270,11.59,27.5,21,Romance,1,0.31,1
USR-0271,12.18,24.7,19,Animation,2,0.2,6
USR-0272,46.5,71.7,29,"Drama, Sci-Fi, Romance",3,0.36,3
USR-0273,7.75,19.8,20,"Comedy, Romance",2,0.26,5
USR-0274,58.89,84.6,40,"Action, Thriller",2,0.38,1
USR-0275,11.24,33.6,23,Comedy,1,0.4,5
USR-0276,58.19,116.5,32,"Action, Thriller",2,0.48,0
USR-0277,53.28,64.6,56,"Horror, Thriller, Animation, Action, Drama",5,0.49,1
USR-0278,37.78,133.5,22,Drama,2,0.82,7
USR-0279,55.78,66.3,43,"Sci-Fi, Romance, Comedy",3,0.48,1
USR-0280,14.62,26.2,27,Comedy,1,0.31,14
USR-0281,17.7,32.8,24,Animation,1,0.45,22
USR-0282,48.57,102.8,39,"Action, Thriller",1,0.52,4
USR-0283,64.64,75.6,48,"Action, Thriller, Drama, Animation, Sci-Fi",5,0.63,0
USR-0284,16.39,36.3,23,Romance,2,0.38,8
USR-0285,53.06,79.4,27,"Action, Thriller",2,0.37,4
USR-0286,4.24,17.0,4,Action,1,0.0,41
USR-0287,72.77,82.8,39,"Action, Thriller",3,0.37,1
USR-0288,76.73,77.3,19,"Comedy, Animation, Drama, Action",4,0.72,2
USR-0289,14.22,29.9,24,Comedy,1,0.2,5
USR-0290,66.46,74.5,28,"Action, Thriller",1,0.56,1
USR-0291,10.1,30.2,29,Comedy,1,0.37,3
USR-0292,1.88,19.7,5,Horror,1,0.17,48
USR-0293,61.27,77.8,36,"Action, Thriller",2,0.46,9
USR-0294,33.82,113.7,23,"Sci-Fi, Thriller",2,0.9,2
USR-0295,11.71,31.7,29,Animation,1,0.27,0
USR-0296,65.29,60.2,41,"Comedy, Animation, Thriller",3,0.56,1
USR-0297,13.51,19.6,22,"Comedy, Romance",1,0.46,8
USR-0298,8.77,25.9,28,Comedy,1,0.32,5
USR-0299,5.9,18.2,26,Animation,1,0.09,16
USR-0300,14.47,27.2,27,Comedy,1,0.3,10
USR-0301,54.14,65.3,51,,4,0.57,0
USR-0302,57.71,156.8,22,,3,0.96,3
USR-0303,26.27,76.8,40,,5,0.45,1
USR-0304,61.45,90.8,33,,2,0.38,0
USR-0305,70.38,98.4,26,,3,0.47,3
USR-0306,7.32,30.1,31,,2,0.33,5
USR-0307,68.37,106.7,34,,2,0.53,0
USR-0308,16.14,20.3,30,,1,0.34,2
USR-0309,78.63,36.6,39,"Comedy, Horror, Action, Documentary",4,0.49,7
USR-0310,41.99,73.8,29,"Action, Animation, Sci-Fi",3,0.56,3
USR-0311,53.61,100.1,22,"Sci-Fi, Thriller",3,0.79,0
USR-0312,8.15,30.0,36,Animation,2,0.47,10
USR-0313,63.93,70.2,39,"Action, Horror, Romance, Drama",4,0.65,1
USR-0314,80.2,86.3,32,"Action, Thriller",2,0.39,7
USR-0315,0.98,10.0,5,Action,1,0.27,37
USR-0316,16.98,13.5,34,Comedy,1,0.32,17
USR-0317,36.68,90.5,36,"Action, Thriller",2,0.43,9
USR-0318,59.76,88.7,28,Drama,2,0.81,2
USR-0319,2.53,23.5,6,Sci-Fi,1,0.33,39
USR-0320,39.97,95.5,42,"Action, Thriller",2,0.41,0
USR-0321,55.13,100.6,45,"Action, Thriller",3,0.41,1
USR-0322,46.8,143.9,11,Drama,3,0.83,1
USR-0323,21.69,30.1,26,Comedy,2,0.29,1
USR-0324,7.88,20.5,35,Comedy,2,0.43,6
USR-0325,40.01,76.0,38,"Drama, Animation, Action, Comedy, Thriller",5,0.45,2
USR-0326,76.63,95.7,38,"Action, Thriller",2,0.39,9
USR-0327,62.81,67.5,43,"Action, Thriller",2,0.35,0
USR-0328,2.76,25.9,34,Animation,2,0.45,0
USR-0329,49.99,104.1,32,"Action, Thriller",2,0.4,0
USR-0330,63.85,107.1,48,"Action, Thriller",2,0.24,1
USR-0331,15.18,23.7,29,Comedy,2,0.32,4
USR-0332,65.68,98.6,39,"Action, Thriller",1,0.45,2
USR-0333,37.62,125.4,21,Drama,3,0.91,6
USR-0334,25.11,140.3,20,Drama,2,0.91,10
USR-0335,48.38,66.5,38,"Animation, Comedy, Documentary",3,0.44,1
USR-0336,9.48,34.2,24,Animation,1,0.18,0
USR-0337,56.98,89.4,40,"Action, Thriller",1,0.54,4
USR-0338,53.94,62.5,49,"Horror, Drama, Animation, Documentary",4,0.49,1
USR-0339,45.43,90.6,38,"Action, Thriller",2,0.7,2
USR-0340,8.73,27.6,20,Animation,2,0.38,2
USR-0341,75.08,110.1,24,"Action, Thriller",1,0.53,10
USR-0342,16.76,31.1,18,"Comedy, Romance",1,0.44,0
USR-0343,53.39,74.9,24,"Action, Thriller",3,0.5,0
USR-0344,27.78,86.5,46,"Thriller, Comedy, Romance",3,0.44,1
USR-0345,55.9,49.7,44,"Romance, Comedy, Documentary, Animation, Horror",5,0.48,1
USR-0346,40.16,118.3,27,"Sci-Fi, Thriller",3,0.9,0
USR-0347,30.27,82.5,22,"Sci-Fi, Thriller",2,0.69,1
USR-0348,46.12,28.9,54,"Thriller, Animation, Sci-Fi, Comedy, Horror",5,0.42,5
USR-0349,22.82,125.7,24,"Drama, Sci-Fi",2,0.78,6
USR-0350,13.32,30.4,27,Romance,1,0.48,19
USR-0351,48.41,102.9,31,"Action, Thriller",2,0.45,2
USR-0352,64.52,89.8,37,"Action, Thriller",2,0.41,3
USR-0353,10.88,23.3,32,Comedy,2,0.38,4
USR-0354,74.17,35.2,53,"Documentary, Drama, Comedy, Horror",4,0.4,0
USR-0355,9.05,18.4,25,Comedy,2,0.45,7
USR-0356,53.88,74.1,65,"Comedy, Action, Animation",3,0.36,0
USR-0357,66.71,103.8,25,"Action, Thriller",1,0.46,0
USR-0358,51.63,96.4,28,"Action, Thriller",2,0.42,2
USR-0359,26.22,108.7,25,Drama,3,0.97,8
USR-0360,54.9,109.6,16,"Drama, Sci-Fi",3,0.72,3
USR-0361,13.01,19.5,25,"Comedy, Romance",2,0.27,5
USR-0362,63.99,106.6,39,"Action, Thriller",3,0.58,3
USR-0363,10.95,27.2,31,Romance,2,0.39,5
USR-0364,53.06,70.1,24,"Sci-Fi, Horror, Action",3,0.48,1
USR-0365,76.09,73.9,24,"Action, Thriller",2,0.44,5
USR-0366,11.85,27.1,29,"Comedy, Romance",2,0.35,5
USR-0367,9.46,17.9,24,Romance,1,0.33,3
USR-0368,61.98,87.0,43,"Action, Thriller",3,0.41,1
USR-0369,41.04,108.4,27,"Drama, Sci-Fi",2,0.62,4
USR-0370,36.79,87.6,32,"Horror, Romance, Comedy, Sci-Fi",4,0.66,3
USR-0371,8.83,31.4,37,"Comedy, Romance",1,0.28,2
USR-0372,50.55,68.9,35,"Action, Thriller",1,0.54,0
USR-0373,51.56,111.6,25,"Sci-Fi, Thriller",3,0.85,1
USR-0374,0.87,23.5,3,Sci-Fi,1,0.16,52
USR-0375,62.37,97.9,37,"Action, Thriller",2,0.45,4
USR-0376,35.89,109.9,11,"Drama, Sci-Fi",3,0.78,1
USR-0377,40.95,114.7,23,Drama,2,0.78,5
USR-0378,9.32,26.7,32,Comedy,1,0.41,0
USR-0379,4.74,13.9,5,Drama,1,0.3,42
USR-0380,12.69,24.6,26,"Comedy, Romance",1,0.35,1
USR-0381,62.46,109.9,38,"Action, Thriller",2,0.56,2
USR-0382,70.88,91.3,62,"Thriller, Animation, Action, Romance, Comedy",5,0.44,0
USR-0383,3.94,22.4,3,Comedy,1,0.27,34
USR-0384,40.73,67.3,46,"Thriller, Horror, Comedy, Animation",4,0.51,1
USR-0385,11.28,17.4,39,Romance,1,0.3,4
USR-0386,12.97,18.1,30,Romance,2,0.33,0
USR-0387,36.2,123.6,20,Drama,3,0.79,4
USR-0388,62.55,77.9,42,"Action, Thriller",3,0.39,0
USR-0389,52.04,66.1,56,"Drama, Comedy, Romance, Action",4,0.49,4
USR-0390,17.74,26.5,20,Animation,1,0.32,2
USR-0391,51.93,86.4,34,"Action, Thriller",2,0.5,4
USR-0392,7.94,20.4,25,Comedy,1,0.29,2
USR-0393,4.28,25.5,4,Animation,1,0.07,32
USR-0394,11.36,31.2,27,Animation,1,0.37,3
USR-0395,14.17,34.8,34,Animation,1,0.42,0
USR-0396,73.2,95.4,14,"Action, Thriller",2,0.65,2
USR-0397,31.99,126.6,18,Drama,2,0.82,5
USR-0398,58.14,71.2,32,"Action, Thriller",2,0.72,0
USR-0399,54.77,96.6,21,"Drama, Sci-Fi",2,0.71,0
USR-0400,48.42,102.5,26,"Action, Thriller",2,0.47,4
USR-0401,12.46,19.9,30,Romance,2,0.4,0
USR-0402,21.92,38.6,36,Comedy,2,0.4,11
USR-0403,33.63,129.2,9,"Drama, Sci-Fi",2,0.75,1
USR-0404,3.21,20.9,6,Documentary,1,0.4,39
USR-0405,9.9,33.3,25,Comedy,2,0.39,0
USR-0406,47.01,97.5,27,"Drama, Sci-Fi",2,0.79,0
USR-0407,52.0,115.6,12,Drama,2,0.78,5
USR-0408,4.32,25.8,8,Action,1,0.38,29
USR-0409,47.43,122.3,16,"Drama, Sci-Fi",3,0.79,2
USR-0410,47.62,65.4,27,"Action, Thriller",2,0.33,0
USR-0411,56.99,141.6,16,"Sci-Fi, Thriller",3,0.73,8
USR-0412,30.37,100.4,24,Drama,2,0.88,6
USR-0413,10.29,20.1,28,"Comedy, Romance",1,0.37,3
USR-0414,3.49,12.3,5,Animation,1,0.0,38
USR-0415,48.25,136.3,24,"Drama, Sci-Fi",2,0.81,11
USR-0416,63.5,63.3,53,"Drama, Romance, Thriller, Horror, Action",5,0.38,0
USR-0417,16.89,23.4,30,Comedy,1,0.29,8
USR-0418,3.62,14.8,7,Thriller,1,0.52,34
USR-0419,44.05,92.8,35,"Action, Thriller",2,0.56,1
USR-0420,48.14,105.7,16,"Sci-Fi, Thriller",2,0.78,0
